Timing,Xms,Xmx,GCollector
8.854166E-02,896,896,UseConcMarkSweepGC
0.09375,896,1024,UseConcMarkSweepGC
8.854166E-02,896,1152,UseConcMarkSweepGC
8.333334E-02,896,1280,UseConcMarkSweepGC
8.854166E-02,896,1408,UseConcMarkSweepGC
9.635416E-02,896,1536,UseConcMarkSweepGC
8.854166E-02,896,1664,UseConcMarkSweepGC
8.854166E-02,896,1792,UseConcMarkSweepGC
8.854166E-02,896,1920,UseConcMarkSweepGC
8.854166E-02,1024,256,UseConcMarkSweepGC
8.854166E-02,1024,384,UseConcMarkSweepGC
8.854166E-02,1024,512,UseConcMarkSweepGC
0.09375,1024,640,UseConcMarkSweepGC
8.333334E-02,1024,768,UseConcMarkSweepGC
9.114584E-02,1024,896,UseConcMarkSweepGC
8.854166E-02,1024,1024,UseConcMarkSweepGC
8.854166E-02,1024,1152,UseConcMarkSweepGC
0.09375,1024,1280,UseConcMarkSweepGC
8.854166E-02,1024,1408,UseConcMarkSweepGC
0.09375,1024,1536,UseConcMarkSweepGC
0.09375,1024,1664,UseConcMarkSweepGC
8.854166E-02,1024,1792,UseConcMarkSweepGC
0.09375,1024,1920,UseConcMarkSweepGC
0.09375,1152,256,UseConcMarkSweepGC
8.854166E-02,1152,384,UseConcMarkSweepGC
0.09375,1152,512,UseConcMarkSweepGC
0.09375,1152,640,UseConcMarkSweepGC
0.09375,1152,768,UseConcMarkSweepGC
8.854166E-02,1152,896,UseConcMarkSweepGC
8.854166E-02,1152,1024,UseConcMarkSweepGC
8.854166E-02,1152,1152,UseConcMarkSweepGC
0.09375,1152,1280,UseConcMarkSweepGC
8.854166E-02,1152,1408,UseConcMarkSweepGC
0.09375,1152,1536,UseConcMarkSweepGC
8.854166E-02,1152,1664,UseConcMarkSweepGC
8.854166E-02,1152,1792,UseConcMarkSweepGC
9.114584E-02,1152,1920,UseConcMarkSweepGC
0.09375,1280,256,UseConcMarkSweepGC
0.09375,1280,384,UseConcMarkSweepGC
9.635416E-02,1280,512,UseConcMarkSweepGC
0.09375,1280,640,UseConcMarkSweepGC
8.854166E-02,1280,768,UseConcMarkSweepGC
8.854166E-02,1280,896,UseConcMarkSweepGC
0.09375,1280,1024,UseConcMarkSweepGC
0.09375,1280,1152,UseConcMarkSweepGC
8.854166E-02,1280,1280,UseConcMarkSweepGC
8.854166E-02,1280,1408,UseConcMarkSweepGC
8.854166E-02,1280,1536,UseConcMarkSweepGC
8.854166E-02,1280,1664,UseConcMarkSweepGC
8.854166E-02,1280,1792,UseConcMarkSweepGC
